pais,gdp_rank,gdp_usd,gdp_en_salud,edad_media,gini,poblacion,taza_muerte1000
Hong Kong,—,"372,989",,45.6,53.9,7496981.0,7.9
Japan,3,"5,154,475",11.0,48.6,37.9,126476461.0,10.2
Macau,—,"55,136",,40.8,35.0,649335.0,4.9
Mainland China,2,"14,140,163",5.0,38.4,46.5,1439323776.0,8.2
South Korea,12,"1,629,532",8.0,43.2,,,6.8
Taiwan,—,"586,104",,42.3,33.6,23816775.0,7.9
Thailand,22,"529,177",4.0,39.0,44.5,69799978.0,8.3
US,1,"21,439,453",17.0,38.5,45.0,331002651.0,8.3
Australia,14,"1,376,255",9.0,37.5,30.3,25499884.0,6.9
Brazil,9,"1,847,020",9.0,33.2,49.0,212559417.0,6.9
Colombia,38,"327,895",7.0,31.2,51.1,50882891.0,5.6
Malaysia,33,"365,303",4.0,29.2,46.2,32365999.0,5.3
Mexico,15,"1,274,175",6.0,29.3,48.2,128932753.0,5.4
Philippines,36,"356,814",4.0,24.1,44.4,109581078.0,6.0
Singapore,34,"362,818",4.0,35.6,45.9,5850342.0,3.6
Vietnam,44,"261,637",6.0,31.9,34.8,97338579.0,6.0
France,7,"2,707,074",11.0,41.7,29.3,65273511.0,9.6
Nepal,101,"29,813",6.0,25.3,32.8,29136808.0,5.7
Canada,10,"1,730,914",11.0,41.8,32.1,37742154.0,7.9
Cambodia,103,"26,730",6.0,26.4,37.9,16718965.0,7.3
Ivory Coast,88,"44,439",4.0,20.3,,,7.9
Sri Lanka,65,"86,566",4.0,33.7,39.2,21413249.0,6.5
Germany,4,"3,863,344",11.0,47.8,27.0,83783942.0,12.1
Finland,43,"269,654",9.0,42.8,27.2,5540720.0,10.3
United Arab Emirates,30,"405,771",3.0,38.4,,,2.0
India,5,"2,935,570",4.0,28.7,35.2,1380004385.0,7.3
Italy,8,"1,988,636",9.0,46.5,31.9,60461826.0,10.7
Russia,11,"1,637,892",5.0,40.3,41.2,145934462.0,13.4
Sweden,23,"528,929",11.0,41.1,24.9,10099265.0,9.4
UK,6,"2,743,586",10.0,40.6,32.4,67886011.0,9.5
Spain,13,"1,397,870",9.0,43.9,35.9,46754778.0,9.3
Belgium,24,"517,609",10.0,41.6,25.9,11589623.0,9.8
Others,,,,,,,
Egypt,40,"302,256",5.0,24.1,31.8,102334404.0,4.4
Iran,25,"458,500",9.0,31.7,44.5,83992949.0,5.3
Israel,31,"387,717",7.0,30.4,42.8,8655535.0,5.3
Lebanon,81,"58,565",8.0,33.7,,,5.4
Iraq,49,"224,462",4.0,21.2,,,3.9
Afghanistan,113,"18,734",12.0,19.5,,,12.7
Bahrain,94,"38,184",5.0,32.9,,,2.8
Kuwait,57,"137,591",5.0,29.7,,,2.3
Oman,67,"76,609",4.0,26.2,,,3.3
Algeria,53,"172,781",6.0,28.9,35.3,43851044.0,4.4
Austria,26,"447,718",10.0,44.5,30.5,9006398.0,9.8
Croatia,77,"60,702",7.0,43.9,30.8,4105267.0,12.8
Switzerland,20,"715,360",12.0,42.7,29.5,8654622.0,8.5
Georgia,116,"15,925",8.0,38.6,40.1,3989167.0,11.0
Greece,50,"214,012",8.0,45.3,36.7,10423054.0,12.0
North Macedonia,130,"12,672",6.0,,,,
Norway,29,"417,627",10.0,39.5,26.8,5421241.0,8.1
Pakistan,42,"284,214",3.0,22.0,30.7,220892340.0,6.2
Romania,46,"243,698",5.0,42.5,27.3,19237691.0,12.0
Denmark,37,"347,176",10.0,42.0,29.0,5792202.0,9.5
Estonia,97,"31,038",6.0,43.7,34.8,1326535.0,12.9
Netherlands,17,"902,355",10.0,42.8,30.3,17134872.0,9.2
San Marino,170,"1,591",7.0,45.2,,,9.0
Azerbaijan,86,"47,171",7.0,32.6,33.7,10139177.0,7.0
Belarus,75,"62,572",6.0,40.9,26.5,9449323.0,13.1
Iceland,108,"23,918",8.0,37.1,28.0,341243.0,6.6
Lithuania,83,"53,641",6.0,44.5,37.9,2722289.0,15.0
New Zealand,51,"204,671",9.0,37.2,36.2,4822233.0,6.9
Nigeria,27,"446,543",4.0,18.6,48.8,206139589.0,9.1
North Ireland,,,,,,,
Ireland,32,"384,940",7.0,37.8,31.3,4937786.0,6.8
Luxembourg,69,"69,453",5.0,39.5,30.4,625978.0,7.3
Monaco,,,2.0,55.4,,,10.8
Qatar,52,"191,849",3.0,33.7,,,1.6
Armenia,127,"13,444",10.0,36.6,31.5,2963243.0,9.5
Czech Republic,45,"246,953",7.0,43.3,25.0,10708981.0,10.7
Dominican Republic,64,"89,475",6.0,27.9,47.1,10847910.0,6.3
Ecuador,59,"107,914",8.0,28.8,45.9,17643054.0,5.2
Andorra,,,10.0,46.2,,,7.7
Indonesia,16,"1,111,713",3.0,31.1,36.8,273523615.0,6.6
Latvia,95,"35,045",6.0,44.4,34.5,1886198.0,14.6
Morocco,58,"119,040",5.0,29.1,40.9,36910560.0,6.6
Portugal,47,"236,408",9.0,44.6,33.9,10196709.0,10.8
Saudi Arabia,18,"779,289",,30.8,45.9,34813871.0,3.4
Senegal,107,"23,940",4.0,19.4,40.3,16743927.0,7.6
Argentina,28,"445,469",9.0,32.4,41.7,45195774.0,7.4
Chile,41,"294,237",9.0,35.5,50.5,19116201.0,6.5
Jordan,89,"44,172",8.0,23.5,39.7,10203134.0,3.4
Ukraine,56,"150,401",7.0,41.2,25.5,43733762.0,14.0
Hungary,54,"170,407",7.0,43.6,28.2,9660351.0,12.9
Liechtenstein,,,,43.7,,,7.8
Poland,21,"565,854",7.0,41.9,30.8,37846611.0,10.6
Saint Barthelemy,,,,45.6,,,8.7
Tunisia,92,"38,732",7.0,32.7,40.0,11818619.0,6.4
Bosnia and Herzegovina,111,"20,106",9.0,43.3,33.8,3280819.0,10.2
Palestine,,,,18.0,,,3.0
Slovenia,82,"54,154",8.0,44.9,24.4,2078938.0,10.3
South Africa,35,"358,839",8.0,28.0,62.5,59308690.0,9.3
Bhutan,161,"2,842",3.0,29.1,38.8,771608.0,6.3
Cameroon,93,"38,632",5.0,18.5,44.6,26545863.0,8.1
Costa Rica,76,"61,021",7.0,32.6,48.5,5094118.0,4.9
Peru,48,"228,989",5.0,29.1,45.3,32971854.0,6.2
Serbia,84,"51,523",8.0,43.4,38.7,8737371.0,13.5
Slovakia,60,"106,552",7.0,41.8,23.7,5459642.0,10.1
Togo,146,"5,502",6.0,20.0,46.0,8278724.0,6.5
Vatican City,,,,,,,
Malta,121,"14,859",9.0,42.3,28.1,441543.0,8.3
Bangladesh,39,"317,465",2.0,27.9,32.1,164689383.0,5.5
Bulgaria,72,"66,250",8.0,43.7,40.2,6948445.0,14.6
Maldives,145,"5,786",9.0,29.5,38.4,540544.0,4.1
Moldova,136,"11,688",7.0,37.7,26.8,4033963.0,12.6
Paraguay,91,"40,714",7.0,29.7,51.7,7132538.0,4.9
Albania,119,"15,418",,34.3,29.0,2877797.0,7.1
Brunei,134,"12,455",2.0,31.1,,,3.8
Cyprus,105,"24,280",7.0,37.9,34.8,1207359.0,7.0
St Martin,,,,,,,
Burkina Faso,122,"14,593",7.0,17.9,39.5,20903273.0,8.2
Holy See,,,,,,,
Mongolia,126,"13,637",4.0,29.8,34.0,3278290.0,6.3
Panama,70,"68,536",7.0,30.1,50.7,4314767.0,5.1
Bolivia,90,"42,401",6.0,25.3,47.0,11673021.0,6.3
Congo (Kinshasa),85,"48,994",4.0,16.7,,,8.4
