Country/Region,ObservationDate,SNo,Confirmed,Deaths,Recovered
Japan,01/22/2020,36,2.0,0.0,0.0
Mainland China,01/22/2020,535,547.0,17.0,28.0
Thailand,01/22/2020,37,2.0,0.0,0.0
US,01/22/2020,32,1.0,0.0,0.0
Australia,01/23/2020,81,0.0,0.0,0.0
Brazil,01/23/2020,83,0.0,0.0,0.0
Colombia,01/23/2020,84,0.0,0.0,0.0
Japan,01/23/2020,74,1.0,0.0,0.0
Mainland China,01/23/2020,1713,639.0,18.0,30.0
Malaysia,01/23/2020,79,0.0,0.0,0.0
Mexico,01/23/2020,82,0.0,0.0,0.0
Philippines,01/23/2020,78,0.0,0.0,0.0
Singapore,01/23/2020,77,1.0,0.0,0.0
Thailand,01/23/2020,75,3.0,0.0,0.0
US,01/23/2020,70,1.0,0.0,0.0
Vietnam,01/23/2020,80,2.0,0.0,0.0
France,01/24/2020,125,2.0,0.0,0.0
Japan,01/24/2020,120,2.0,0.0,0.0
Mainland China,01/24/2020,3004,916.0,26.0,36.0
Singapore,01/24/2020,123,3.0,0.0,0.0
Thailand,01/24/2020,121,5.0,0.0,0.0
US,01/24/2020,237,2.0,0.0,0.0
Vietnam,01/24/2020,124,2.0,0.0,0.0
Australia,01/25/2020,167,4.0,0.0,0.0
France,01/25/2020,166,3.0,0.0,0.0
Japan,01/25/2020,161,2.0,0.0,0.0
Mainland China,01/25/2020,4224,1399.0,42.0,39.0
Malaysia,01/25/2020,169,3.0,0.0,0.0
Nepal,01/25/2020,168,1.0,0.0,0.0
Singapore,01/25/2020,164,3.0,0.0,0.0
Thailand,01/25/2020,162,7.0,0.0,0.0
US,01/25/2020,319,2.0,0.0,0.0
Vietnam,01/25/2020,165,2.0,0.0,0.0
Australia,01/26/2020,213,4.0,0.0,0.0
Canada,01/26/2020,216,1.0,0.0,0.0
France,01/26/2020,212,3.0,0.0,0.0
Japan,01/26/2020,207,4.0,0.0,1.0
Mainland China,01/26/2020,5548,2062.0,56.0,49.0
Malaysia,01/26/2020,215,4.0,0.0,0.0
Nepal,01/26/2020,214,1.0,0.0,0.0
Singapore,01/26/2020,210,4.0,0.0,0.0
Thailand,01/26/2020,208,8.0,0.0,2.0
US,01/26/2020,818,5.0,0.0,0.0
Vietnam,01/26/2020,211,2.0,0.0,0.0
Australia,01/27/2020,533,5.0,0.0,0.0
Cambodia,01/27/2020,263,1.0,0.0,0.0
Canada,01/27/2020,262,1.0,0.0,0.0
France,01/27/2020,259,3.0,0.0,0.0
Japan,01/27/2020,254,4.0,0.0,1.0
Mainland China,01/27/2020,6953,2863.0,82.0,58.0
Malaysia,01/27/2020,261,4.0,0.0,0.0
Nepal,01/27/2020,260,1.0,0.0,0.0
Singapore,01/27/2020,257,5.0,0.0,0.0
Sri Lanka,01/27/2020,264,1.0,0.0,0.0
Thailand,01/27/2020,255,8.0,0.0,2.0
US,01/27/2020,1006,5.0,0.0,0.0
Vietnam,01/27/2020,258,2.0,0.0,0.0
Australia,01/28/2020,635,5.0,0.0,0.0
Cambodia,01/28/2020,315,1.0,0.0,0.0
Canada,01/28/2020,627,2.0,0.0,0.0
France,01/28/2020,310,4.0,0.0,0.0
Germany,01/28/2020,319,4.0,0.0,0.0
Japan,01/28/2020,305,7.0,0.0,1.0
Mainland China,01/28/2020,8478,5494.0,131.0,101.0
Malaysia,01/28/2020,312,4.0,0.0,0.0
Nepal,01/28/2020,311,1.0,0.0,0.0
Singapore,01/28/2020,308,7.0,0.0,0.0
Sri Lanka,01/28/2020,316,1.0,0.0,0.0
Thailand,01/28/2020,306,14.0,0.0,5.0
US,01/28/2020,1210,5.0,0.0,0.0
Vietnam,01/28/2020,309,2.0,0.0,0.0
Australia,01/29/2020,739,5.0,0.0,0.0
Cambodia,01/29/2020,367,1.0,0.0,0.0
Canada,01/29/2020,731,2.0,0.0,0.0
Finland,01/29/2020,372,1.0,0.0,0.0
France,01/29/2020,362,5.0,0.0,0.0
Germany,01/29/2020,371,4.0,0.0,0.0
Japan,01/29/2020,357,7.0,0.0,1.0
Mainland China,01/29/2020,10040,6070.0,133.0,120.0
Malaysia,01/29/2020,364,7.0,0.0,0.0
