Country/Region,pib_en_salud,Rank,GDP(US$million),edad_media,giniIndex,pop2020,taza(muerte/1000)
Mainland China,5.0,2,"14,140,163",38.4,46.5,1439323776.0,8.2
Hong Kong,,—,"372,989",45.6,53.9,7496981.0,7.9
Macau,,—,"55,136",40.8,35.0,649335.0,4.9
Taiwan,,—,"586,104",42.3,33.6,23816775.0,7.9
US,17.0,1,"21,439,453",38.5,45.0,331002651.0,8.3
Japan,11.0,3,"5,154,475",48.6,37.9,126476461.0,10.2
Thailand,4.0,22,"529,177",39.0,44.5,69799978.0,8.3
South Korea,8.0,12,"1,629,532",43.2,,,6.8
Singapore,4.0,34,"362,818",35.6,45.9,5850342.0,3.6
Philippines,4.0,36,"356,814",24.1,44.4,109581078.0,6.0
Malaysia,4.0,33,"365,303",29.2,46.2,32365999.0,5.3
Vietnam,6.0,44,"261,637",31.9,34.8,97338579.0,6.0
Australia,9.0,14,"1,376,255",37.5,30.3,25499884.0,6.9
Mexico,6.0,15,"1,274,175",29.3,48.2,128932753.0,5.4
Brazil,9.0,9,"1,847,020",33.2,49.0,212559417.0,6.9
Colombia,7.0,38,"327,895",31.2,51.1,50882891.0,5.6
France,11.0,7,"2,707,074",41.7,29.3,65273511.0,9.6
Nepal,6.0,101,"29,813",25.3,32.8,29136808.0,5.7
Canada,11.0,10,"1,730,914",41.8,32.1,37742154.0,7.9
Cambodia,6.0,103,"26,730",26.4,37.9,16718965.0,7.3
Sri Lanka,4.0,65,"86,566",33.7,39.2,21413249.0,6.5
Ivory Coast,,,,20.3,,,7.9
Germany,11.0,4,"3,863,344",47.8,27.0,83783942.0,12.1
Finland,9.0,43,"269,654",42.8,27.2,5540720.0,10.3
United Arab Emirates,3.0,30,"405,771",38.4,,,2.0
India,4.0,5,"2,935,570",28.7,35.2,1380004385.0,7.3
Italy,9.0,8,"1,988,636",46.5,31.9,60461826.0,10.7
UK,10.0,6,"2,743,586",40.6,32.4,67886011.0,9.5
Russia,5.0,11,"1,637,892",40.3,41.2,145934462.0,13.4
Sweden,11.0,23,"528,929",41.1,24.9,10099265.0,9.4
Spain,9.0,13,"1,397,870",43.9,35.9,46754778.0,9.3
Belgium,10.0,24,"517,609",41.6,25.9,11589623.0,9.8
Others,,,,,,,
Egypt,5.0,40,"302,256",24.1,31.8,102334404.0,4.4
Iran,9.0,25,"458,500",31.7,44.5,83992949.0,5.3
Israel,7.0,31,"387,717",30.4,42.8,8655535.0,5.3
Lebanon,8.0,81,"58,565",33.7,,,5.4
Iraq,4.0,49,"224,462",21.2,,,3.9
Oman,4.0,67,"76,609",26.2,,,3.3
Afghanistan,12.0,113,"18,734",19.5,,,12.7
Bahrain,5.0,94,"38,184",32.9,,,2.8
Kuwait,5.0,57,"137,591",29.7,,,2.3
Austria,10.0,26,"447,718",44.5,30.5,9006398.0,9.8
Algeria,6.0,53,"172,781",28.9,35.3,43851044.0,4.4
Croatia,7.0,77,"60,702",43.9,30.8,4105267.0,12.8
Switzerland,12.0,20,"715,360",42.7,29.5,8654622.0,8.5
Pakistan,3.0,42,"284,214",22.0,30.7,220892340.0,6.2
Georgia,8.0,116,"15,925",38.6,40.1,3989167.0,11.0
Greece,8.0,50,"214,012",45.3,36.7,10423054.0,12.0
North Macedonia,6.0,130,"12,672",,,,
Norway,10.0,29,"417,627",39.5,26.8,5421241.0,8.1
Romania,5.0,46,"243,698",42.5,27.3,19237691.0,12.0
Denmark,10.0,37,"347,176",42.0,29.0,5792202.0,9.5
Estonia,6.0,97,"31,038",43.7,34.8,1326535.0,12.9
Netherlands,10.0,17,"902,355",42.8,30.3,17134872.0,9.2
San Marino,7.0,170,"1,591",45.2,,,9.0
Azerbaijan,7.0,86,"47,171",32.6,33.7,10139177.0,7.0
Belarus,6.0,75,"62,572",40.9,26.5,9449323.0,13.1
Iceland,8.0,108,"23,918",37.1,28.0,341243.0,6.6
Lithuania,6.0,83,"53,641",44.5,37.9,2722289.0,15.0
New Zealand,9.0,51,"204,671",37.2,36.2,4822233.0,6.9
Nigeria,4.0,27,"446,543",18.6,48.8,206139589.0,9.1
North Ireland,,,,,,,
Ireland,7.0,32,"384,940",37.8,31.3,4937786.0,6.8
Luxembourg,5.0,69,"69,453",39.5,30.4,625978.0,7.3
Monaco,2.0,,,55.4,,,10.8
Qatar,3.0,52,"191,849",33.7,,,1.6
Ecuador,8.0,59,"107,914",28.8,45.9,17643054.0,5.2
Czech Republic,7.0,45,"246,953",43.3,25.0,10708981.0,10.7
Armenia,10.0,127,"13,444",36.6,31.5,2963243.0,9.5
Dominican Republic,6.0,64,"89,475",27.9,47.1,10847910.0,6.3
Indonesia,3.0,16,"1,111,713",31.1,36.8,273523615.0,6.6
Portugal,9.0,47,"236,408",44.6,33.9,10196709.0,10.8
Andorra,10.0,,,46.2,,,7.7
Latvia,6.0,95,"35,045",44.4,34.5,1886198.0,14.6
Morocco,5.0,58,"119,040",29.1,40.9,36910560.0,6.6
Saudi Arabia,,18,"779,289",30.8,45.9,34813871.0,3.4
Senegal,4.0,107,"23,940",19.4,40.3,16743927.0,7.6
Argentina,9.0,28,"445,469",32.4,41.7,45195774.0,7.4
Chile,9.0,41,"294,237",35.5,50.5,19116201.0,6.5
Jordan,8.0,89,"44,172",23.5,39.7,10203134.0,3.4
Ukraine,7.0,56,"150,401",41.2,25.5,43733762.0,14.0
Saint Barthelemy,,,,45.6,,,8.7
Hungary,7.0,54,"170,407",43.6,28.2,9660351.0,12.9
Faroe Islands,,,,37.2,22.7,48863.0,8.8
Gibraltar,,,,35.5,,,8.6
Liechtenstein,,,,43.7,,,7.8
Poland,7.0,21,"565,854",41.9,30.8,37846611.0,10.6
Tunisia,7.0,92,"38,732",32.7,40.0,11818619.0,6.4
Palestine,,,,18.0,,,3.0
Bosnia and Herzegovina,9.0,111,"20,106",43.3,33.8,3280819.0,10.2
Slovenia,8.0,82,"54,154",44.9,24.4,2078938.0,10.3
South Africa,8.0,35,"358,839",28.0,62.5,59308690.0,9.3
Bhutan,3.0,161,"2,842",29.1,38.8,771608.0,6.3
Cameroon,5.0,93,"38,632",18.5,44.6,26545863.0,8.1
Costa Rica,7.0,76,"61,021",32.6,48.5,5094118.0,4.9
Peru,5.0,48,"228,989",29.1,45.3,32971854.0,6.2
Serbia,8.0,84,"51,523",43.4,38.7,8737371.0,13.5
Slovakia,7.0,60,"106,552",41.8,23.7,5459642.0,10.1
Togo,6.0,146,"5,502",20.0,46.0,8278724.0,6.5
Vatican City,,,,,,,
French Guiana,,,,,,,
Malta,9.0,121,"14,859",42.3,28.1,441543.0,8.3
