pais,taza(muerte/1000)
Lesotho,15.40
Lithuania,15.00
Bulgaria,14.60
Latvia,14.60
Ukraine,14.00
Serbia,13.50
Russia,13.40
Belarus,13.10
Estonia,12.90
Hungary,12.90
Croatia,12.80
Afghanistan,12.70
Moldova,12.60
Somalia,12.40
Central African Republic,12.30
Germany,12.10
Greece,12.00
Romania,12.00
Zambia,11.60
South Sudan,11.40
Georgia,11.00
Mozambique,11.00
Saint Pierre and Miquelon,10.90
Monaco,10.80
Portugal,10.80
Czechia,10.70
Italy,10.70
Poland,10.60
Isle of Man,10.40
Montenegro,10.40
Finland,10.30
Slovenia,10.30
Bosnia and Herzegovina,10.20
Japan,10.20
Niger,10.20
Eswatini,10.10
Slovakia,10.10
Chad,10.00
Austria,9.80
Belgium,9.80
Sierra Leone,9.80
France,9.60
Macedonia,9.60
Armenia,9.50
Denmark,9.50
Puerto Rico,9.50
UK,9.50
North Korea,9.40
Sweden,9.40
South Africa,9.30
Spain,9.30
Uruguay,9.30
Zimbabwe,9.30
Botswana,9.20
Guernsey,9.20
Netherlands,9.20
Bermuda,9.10
Cuba,9.10
Nigeria,9.10
Trinidad and Tobago,9.10
Cook Islands,9.00
Greenland,9.00
Mali,9.00
San Marino,9.00
Barbados,8.80
Faroe Islands,8.80
Aruba,8.70
Congo, Republic of the,8.70
Curacao,8.70
Saint Barthelemy,8.70
Gibraltar,8.60
Angola,8.50
Switzerland,8.50
Virgin Islands,8.50
Benin,8.40
Congo, Democratic Republic of the,8.40
Guinea,8.40
Grenada,8.30
Malta,8.30
Palau,8.30
Saint Helena Ascension and Tristan da Cunha,8.30
Thailand,8.30
US,8.30
Burkina Faso,8.20
Mainland China,8.20
Kazakhstan,8.20
Tuvalu,8.20
Cameroon,8.10
Norway,8.10
Saint Lucia,8.10
Dominica,8.00
Canada,7.90
Cote d'Ivoire,7.90
Guinea-Bissau,7.90
Hong Kong,7.90
Jersey,7.90
Taiwan,7.90
Liechtenstein,7.80
Andorra,7.70
Western Sahara,7.70
Saint Vincent and the Grenadines,7.60
Senegal,7.60
Guyana,7.50
Jamaica,7.50
Mauritania,7.50
Venezuela,7.50
Argentina,7.40
The Bahamas,7.40
Haiti,7.40
Cambodia,7.30
Djibouti,7.30
Equatorial Guinea,7.30
India,7.30
Luxembourg,7.30
Mauritius,7.30
Namibia,7.30
Saint Kitts and Nevis,7.30
Burma,7.20
Laos,7.20
Malawi,7.20
Albania,7.10
Seychelles,7.10
Tanzania,7.10
Azerbaijan,7.00
Cyprus,7.00
Kosovo,7.00
Liberia,7.00
Australia,6.90
Brazil,6.90
Comoros,6.90
Eritrea,6.90
Kiribati,6.90
New Zealand,6.90
Ireland,6.80
South Korea,6.80
The Gambia,6.70
Papua New Guinea,6.70
Ghana,6.60
Iceland,6.60
Indonesia,6.60
Morocco,6.60
Chile,6.50
Sri Lanka,6.50
Sudan,6.50
Togo,6.50
Tunisia,6.40
Bhutan,6.30
Bolivia,6.30
Dominican Republic,6.30
Fiji,6.30
Kyrgyzstan,6.30
Mongolia,6.30
Sao Tome and Principe,6.30
Burundi,6.20
Madagascar,6.20
Pakistan,6.20
Peru,6.20
Suriname,6.20
Cayman Islands,6.10
Rwanda,6.10
Turkey,6.10
Turkmenistan,6.10
Guam,6.00
Montserrat,6.00
Nauru,6.00
Philippines,6.00
Vietnam,6.00
American Samoa,5.90
Cabo Verde,5.90
El Salvador,5.90
Ethiopia,5.90
Gabon,5.90
New Caledonia,5.90
Antigua and Barbuda,5.80
Sint Maarten,5.80
Tajikistan,5.80
Nepal,5.70
Timor-Leste,5.70
Wallis and Futuna,5.70
Colombia,5.60
Yemen,5.60
Bangladesh,5.50
French Polynesia,5.50
British Virgin Islands,5.40
Lebanon,5.40
Mexico,5.40
Samoa,5.40
Uzbekistan,5.40
Iran,5.30
Israel,5.30
Malaysia,5.30
Northern Mariana Islands,5.30
Uganda,5.30
Ecuador,5.20
Kenya,5.20
Nicaragua,5.20
Panama,5.10
Costa Rica,4.90
Falkland Islands (Islas Malvinas),4.90
Guatemala,4.90
Macau,4.90
Paraguay,4.90
Tonga,4.90
Anguilla,4.80
Honduras,4.70
Saint Martin,4.60
Syria,4.50
Algeria,4.40
Egypt,4.40
Marshall Islands,4.30
Micronesia, Federated States of,4.30
Belize,4.10
Maldives,4.10
Vanuatu,4.00
Iraq,3.90
Brunei,3.80
Solomon Islands,3.80
Singapore,3.60
Libya,3.50
Jordan,3.40
Saudi Arabia,3.40
Turks and Caicos Islands,3.40
West Bank,3.40
Oman,3.30
Gaza Strip,3.00
Bahrain,2.80
Kuwait,2.30
United Arab Emirates,2.00
Qatar,1.60
